author,rate,title
作者:夏宇,9.1,備忘錄
作者:[英]约翰·穆勒,9.3,论自由
作者:威廉·萨默赛特·毛姆/(W.S.Maugham),9.1,人性的枷锁
作者:Priest,8.8,有匪1
作者:刘和平,9.1,大明王朝1566
作者:王小波,9.0,黄金时代
作者:[美]雅罗姆（IrvinD.Yalom）,9.1,给心理治疗师的礼物
作者:桔子樹,9.4,麒麟之生死與共
作者:张新颖,9.1,沈从文的后半生
作者:[英]肯·福莱特,8.8,世界的凛冬
作者:[美]约翰·斯坦贝克（JohnSteinbeck）,9.0,人鼠之间
作者:[英]威廉·萨默塞特·毛姆,9.0,面纱
作者:[美]田纳西·威廉斯,9.0,欲望号街车
作者:南怀瑾述,9.2,南怀瑾选集（第一卷）
作者:[英]路德维希·维特根斯坦,9.0,哲学研究
作者:(美)丹·西蒙斯,8.9,海伯利安的陨落
作者:[美]丹·西蒙斯,9.1,海伯利安
作者:叶嘉莹,9.1,唐宋词十七讲
作者:张五常,9.0,经济解释卷一：科学说需求（神州增订版）
作者:钱钟书,9.3,管锥编（全五册）
作者:[日]芥川龙之介,9.2,罗生门
作者:史铁生,9.1,我与地坛
作者:吳念真,9.0,這些人，那些事
作者:(德)亚瑟·叔本华,9.1,叔本华思想随笔
作者:斯·茨威格,9.1,斯·茨威格中短篇小说选
作者:[英]威廉·萨默塞特·毛姆,9.1,毛姆短篇小说精选集
作者:李娟,9.1,阿勒泰的角落
作者:老舍,9.3,四世同堂
作者:大仲马,9.2,基督山伯爵（上下册）
作者:[意大利]卡尔维诺,9.0,卡尔维诺文集（第五卷）
作者:王小波,9.1,黄金时代白银时代
作者:[英]贡布里希(SirE.H.Gombrich),9.6,艺术的故事
作者:[澳]格里高利·大卫·罗伯兹,9.0,项塔兰
作者:李光耀,9.2,李光耀观天下
作者:白先勇,9.1,台北人
作者:[英]威尔·贡培兹,9.1,现代艺术150年
作者:(俄罗斯)维克托·阿斯塔菲耶夫,8.9,鱼王
作者:[意]埃莱娜·费兰特,9.1,新名字的故事
作者:果麦编,9.0,孩子们的诗
作者:Priest,8.9,有匪3
作者:[英]J.R.R.托尔金著/[英]艾伦·李图,9.1,霍比特人：精装插图本
作者:早稻,9.6,松风
作者:S.A.阿列克谢耶维奇,9.0,我是女兵，也是女人
作者:[奥]里尔克,9.0,给青年诗人的信
作者:【德】朱莉娅·恩德斯,8.9,肠子的小心思
作者:王鼎钧,9.2,关山夺路
作者:[古希腊]柏拉图,9.3,会饮篇
作者:[英]乔纳森·林恩/(英)安东尼·杰伊编著,9.1,是，大臣
作者:三岛由纪夫,9.1,春雪
作者:周桦,8.9,褚时健传
作者:李微漪,9.0,重返狼群
作者:[荷]文森特•梵高/[美]H.安娜•苏/编,9.4,梵高手稿
作者:盐野七生,9.2,罗马人的故事5
作者:盐野七生,9.1,罗马人的故事（礼品装，全15册）
作者:陈寅恪,9.6,隋唐制度渊源略论稿唐代政治史述论稿
作者:[美]海蒂·格兰特·霍尔沃森,8.8,成功，动机与目标
作者:[英国]鲍曼,9.1,现代性与大屠杀
作者:[美]克雷格·莱特(CraigWright),9.5,聆听音乐
作者:[南朝梁]刘勰著/范文澜注,9.3,文心雕龙注（上下）
作者:老舍,9.1,不成问题的问题
作者:李航,9.0,统计学习方法
作者:[西班牙]路易斯·塞尔努达,8.9,奥克诺斯
作者:（英）特雷·伊格尔顿,9.1,二十世纪西方文学理论
作者:[美]查理·芒格/[美]彼得·考夫曼（编）,8.9,穷查理宝典
作者:[日]星野道夫,9.2,永恒的时光之旅
作者:杨显惠,9.4,定西.孤儿院纪事
作者:蒋廷黻,9.0,中国近代史
作者:夏丏尊/叶圣陶,9.1,文心
作者:康德,9.0,纯粹理性批判
作者:弗兰姆普敦,9.2,建构文化研究
作者:李乾朗,9.3,穿墙透壁
作者:卡伦·霍尼,8.9,我们内心的冲突
作者:[美]艾里希·弗洛姆,9.2,逃避自由
作者:[德国]赫尔曼·黑塞,9.3,纳尔齐斯和歌尔德蒙
作者:[法]盖伊·萨杰,9.0,被遗忘的士兵
作者:[美]埃里克·坎德尔,8.9,追寻记忆的痕迹
作者:冯骥才,9.3,一百个人的十年
作者:(波兰)亚历山德拉·米热林斯卡/丹尼尔·米热林斯基著,9.1,地图（人文版）
作者:阿耐,8.9,大江东去
作者:单之蔷,9.2,中国景色
作者:[英]劳伦斯·里斯,9.5,奥斯维辛
作者:[墨西哥]胡安·鲁尔福,9.0,佩德罗·巴拉莫
作者:[美]弗诺·文奇,9.0,天渊
作者:[英]基思·罗威,9.0,野蛮大陆
作者:杰克·伦敦,9.0,荒野的呼唤
作者:李娟,9.0,遥远的向日葵地
作者:【美】鲁道夫·德雷克斯/【美】薇姬·索尔兹,9.1,孩子：挑战
作者:阿尔蒂尔・兰波,9.0,地狱一季
作者:[美]理查德·耶茨,9.1,革命之路
作者:[美]帕蒂·史密斯,9.0,只是孩子
作者:宗萨蒋扬钦哲仁波切,9.0,正见
作者:宗萨蒋扬钦哲仁波切,9.2,佛教的见地与修道
作者:[意]伊塔洛·卡尔维诺,9.0,看不见的城市
作者:[俄]帕乌斯托夫斯基,9.1,金蔷薇
作者:钱穆,8.9,中国史学名著
作者:王小波,9.0,绿毛水怪
作者:[意]卡洛·罗韦利,8.9,时间的秩序
作者:(美)大卫·马祖凯利,9.1,建筑师
作者:[美]托马斯·库恩/[美]伊安·哈金(导读),9.0,科学革命的结构
作者:[英]威廉·萨默塞特·毛姆,9.1,叶之震颤
作者:[英]奥兰多·费吉斯,9.3,娜塔莎之舞
作者:仇鹿鸣,9.4,魏晋之际的政治权力与家族网络
作者:李碧妍,9.1,危机与重构
作者:[美]沃尔特·李普曼,9.2,舆论
